txSignature,amount,instructionAction,instructionOrder,userAddress,timestamp,currencyName,currencyAddress,senderAddress,senderTokenMint,receiverAddress,globalId,vaultAuthority,shareTokenMint,depositTokenSymbol,depositTokenCoingeckoId,userAction
5Ax2rUPo7q4FAwXTa8W4eyXUXXW85MoXDEhtyRptRHrg81GXHbjCsSfxc1MJcZkiCdHmJfZ2rA6LUdLYK27FTCGk,315.0,transfer,1-0,7MvdE5D9g8demfTPvo6JTaqbMSvvxo3sfFCrux1qoye4,2022-03-17T20:16:38Z,UST (Wormhole),9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,7MvdE5D9g8demfTPvo6JTaqbMSvvxo3sfFCrux1qoye4,923D3HKikq4kuz9fWXKqU5bYDHWHDN2igLVUziqTqojX,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,mainnet_income_put_luna,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,74ozhToAS71nDVBtFZMMucdkNB95tV2o5fhtFGQeixwS,UST,terrausd,Deposit
5Ke6CoouPbQ7jkk3fZhiYD3x8R5Sw9euxihDjyg4UdB113Y3gifLiQ3ZQvFnjtMmqCh8MvAJhw9dUgTkYND1zbEd,0.519343904,transfer,1-0,7H2fjdHYNBottkNDy6x1te27cKBUTtDQfC7E3pgv1f5x,2022-03-17T18:31:31Z,Marinade staked SOL (mSOL),mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,7H2fjdHYNBottkNDy6x1te27cKBUTtDQfC7E3pgv1f5x,B3UA6xo3tqo537dfv3n7okHLxUZjrykmH6JLCn5mHRwQ,6asST5hurmxJ8uFvh7ZRWkrMfSEzjEAJ4DNR1is3G6eH,mainnet_income_call_marinade,6asST5hurmxJ8uFvh7ZRWkrMfSEzjEAJ4DNR1is3G6eH,6UA3yn28XecAHLTwoCtjfzy3WcyQj1x13bxnH8urUiKt,mSOL,msol,Deposit
5SeNYTDX4rg6pPvcEkKsCfzeo98Cg4joQfhQKrUEEDXwzwnfHmS2PY64cJZTZBG3QLDfLkDN3s98a7hWvNFP3Qf4,189.139838,transfer,0-0,EHWCVPPek2kt512pn6JQDKMdZ7R91gLad24dthVYjUQo,2022-03-17T18:14:08Z,UST (Wormhole),9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,EHWCVPPek2kt512pn6JQDKMdZ7R91gLad24dthVYjUQo,ES4De2T8ZG7E7EPRM9eSwFppbfKBioRnEUW7XRr7Uaju,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,mainnet_income_put_luna,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,74ozhToAS71nDVBtFZMMucdkNB95tV2o5fhtFGQeixwS,UST,terrausd,Deposit
5TqpYRA1TB7Hra8ckwrpNb7mr4Fiae3ZCzeQNdbbRShNAogpTg8gASyiSEYy1nQKoHdzuNaiir4cic9oSRKN9CAT,0.5,transfer,3-0,EapjtDx27xLxAeKFhFUzsYdCT6BeeAEKcJ4NYoMqKubN,2022-03-17T18:33:31Z,Wrapped SOL,So11111111111111111111111111111111111111112,EapjtDx27xLxAeKFhFUzsYdCT6BeeAEKcJ4NYoMqKubN,FJMTKUyCthJQ83BDHEwMMcMSDWHNF5bUZwVrF6KVWjAo,Hxtb6APfNtf9m8jJjh7uYp8fCTGr9aeHxBSfiPqCrV6G,mainnet_income_call_sol,Hxtb6APfNtf9m8jJjh7uYp8fCTGr9aeHxBSfiPqCrV6G,4Hnh1UCC6HLzx9NaGKnTVHR2bANcRrhydumdHCnrT3i2,SOL,solana,Deposit
5YhGmUs4bZ8xsmbZjNgJhqipXdQExejJgoqif2N7KNVVLLs7T3UbTwmxZy669FDqrvaW936hcjp6Z1dw43JUpmYp,50.0,transfer,1-1,8e1q2ax3fBmYTjpKdgQzCSRPn1hgv1mbom4g1NMk7ZeS,2022-03-17T19:27:33Z,Step,StepAscQoEioFxxWGnh2sLBDFp9d8rvKz2Yp39iDpyT,8e1q2ax3fBmYTjpKdgQzCSRPn1hgv1mbom4g1NMk7ZeS,6AGxkZ95pLBcwZGGfCSRvdcGBoNeyS7QJpouxMtuecpe,FiEHDTKT6X7VFwGaUmsm1XXYr8vvkoSR5EqcY4znpefq,mainnet_income_call_step,FiEHDTKT6X7VFwGaUmsm1XXYr8vvkoSR5EqcY4znpefq,AQFLXqLLofcbUCoi5HPfuuvX6vMPafubZfBNBMumnKq2,STEP,step-finance,Deposit
5aJe3LkBFNGUETRqLgu9rnNpwGKECPFbtCBrctTZzgE6WPuoTQdwfLeb4fmDrpUB6qVZkaVvU7fWJNn18YHezqNB,95.933408,transfer,0-0,mmGdMwUaNpo3dLyc96vaMRLwiPU6djAA2ATynmrHGM6,2022-03-17T18:16:00Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,mmGdMwUaNpo3dLyc96vaMRLwiPU6djAA2ATynmrHGM6,G9AqUiHfcabmQ3HDLmrntxoMn1CWhgXv8qKHehePfsFn,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,mainnet_income_put_sol_high,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,G8jsAWUA2KdDn7XmV1sBqUdbEXESaPdjPWDEYCsnkRX2,USDC,usd-coin,Deposit
5cHNCr6ejgqS87x32yorNk8KyBWukftfNesuWT2gbqqcVSjRpGrcXsD6soZT1WoJGMnnDjw8MV5oFExicf6NicQ8,20.0,transfer,2-0,3SVeFPSRrhWbZFw2vvv8hf5H5t71gL7wLRQdDnUGw4WV,2022-03-17T21:23:15Z,Wrapped SOL,So11111111111111111111111111111111111111112,3SVeFPSRrhWbZFw2vvv8hf5H5t71gL7wLRQdDnUGw4WV,4m87cjyHVZ9muKyJ1hw1THo6Nk1QfdwkzjR6SJH6qhwy,Hxtb6APfNtf9m8jJjh7uYp8fCTGr9aeHxBSfiPqCrV6G,mainnet_income_call_sol,Hxtb6APfNtf9m8jJjh7uYp8fCTGr9aeHxBSfiPqCrV6G,4Hnh1UCC6HLzx9NaGKnTVHR2bANcRrhydumdHCnrT3i2,SOL,solana,Deposit
5g9X7RyyEVxg1WAHJiViZJ9UFdWBnXSckdHu5r5U7T9oC2tN1tvYZ4RtN5HG8cV6KJTemTrbv3EiophLopPxvYx3,0.6,transfer,3-1,4wXUiUcYAt8MGzcSZeJpKPtTnUZyUsJLJNbBQejY6twk,2022-03-17T19:30:31Z,Wrapped SOL,So11111111111111111111111111111111111111112,4wXUiUcYAt8MGzcSZeJpKPtTnUZyUsJLJNbBQejY6twk,AFcQR7SprWncN6hSUY1hjpPzFWwmm4F9FUJuVEqzRkbK,Hxtb6APfNtf9m8jJjh7uYp8fCTGr9aeHxBSfiPqCrV6G,mainnet_income_call_sol,Hxtb6APfNtf9m8jJjh7uYp8fCTGr9aeHxBSfiPqCrV6G,4Hnh1UCC6HLzx9NaGKnTVHR2bANcRrhydumdHCnrT3i2,SOL,solana,Deposit
5hmnisnYsEfCk6EyVT95WcWdLDfSRCESseghM4smkPfhcF4L6fvTW73kXcLzpHRKVP5PY5KXDQhoQb2GsxzZTzxb,25.0,transfer,0-0,C7kUxhQVt1PvaaxCsXi6qF9RP24MmCi9pdxAm4AVRwse,2022-03-17T19:58:37Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,C7kUxhQVt1PvaaxCsXi6qF9RP24MmCi9pdxAm4AVRwse,CGqoVhjFhKG66ppx4rJZrWy1yRoi7ij5LEkk2MAHf3H1,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,mainnet_income_put_sol,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,USDC,usd-coin,Deposit
5iSp6BYSy6SSFiw7mtHUcNEjEFgqWKtMsBRZZkxwiPTjPLyery1iLc3GCACbzJjDVVSdkyD4mCpJhNqeMJV4E9yz,1000.0,transfer,1-0,7Jt6Tb5TRSE3HwrgmHZZHFaX1orhuxn8aaRn89opGky7,2022-03-17T19:18:54Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,7Jt6Tb5TRSE3HwrgmHZZHFaX1orhuxn8aaRn89opGky7,9YPmniUYSvjj6SFCS2Ajk3K2inuJcwTuynn5NYeKgroU,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,mainnet_income_put_sol,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,USDC,usd-coin,Deposit
