txSignature,amount,instructionAction,instruction.action.type,instructionOrder,userAddress,timestamp,currencyName,currencyAddress,currencySymbol,currencyDecimals,senderAddress,senderTokenMint,receiverAddress,receiver.mintAccount,globalId,vaultAuthority,shareTokenMint,depositTokenSymbol,depositTokenCoingeckoId
3h1S1BfB7hyYnX6fN6XucYwSwKVHHyjDWzoHXZsz5pFyw9uZKRzuYUtkVtksw8qWXoAoL2VcqP7UwHpXcauep5Rd,233.775048,transfer,transfer,0-0,3QtSNqsckxUrqstFmMirJjR7qubANobJGn7g1LrPo82K,2022-03-17T15:36:37Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,3QtSNqsckxUrqstFmMirJjR7qubANobJGn7g1LrPo82K,8tVe2kdJZUAdJfoMrRYsVRzxkVHNTL2vHzHq3KpECWCZ,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,BwCiscB5zmPQKj9VS2bV5UCAdyxthLhzL1EfeWKVz61z,mainnet_income_put_sol,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,USDC,usd-coin
3jSKJacV6azLfxY37NQfxVuUtcb6RCgsu3hf5wNRJxrtxsrZKa4FD9vRFpvY1yczDzwN71BBsW35NxTr78vRPE77,1000.573011,transfer,transfer,0-0,2gaCFRJMqq8ZSvkArknNLeTeoif2xLmcKt9BcLjTXh6B,2022-03-16T08:59:55Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,2gaCFRJMqq8ZSvkArknNLeTeoif2xLmcKt9BcLjTXh6B,BKGgBxLj7CZT8VWFW4bTAiak6zzkSw9U4BAexWzkmgM7,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,GPzEmGQbe4msvfNAFS9KNBSmprSdAMVdiEeMpEt2keXy,mainnet_income_put_sol_high,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,G8jsAWUA2KdDn7XmV1sBqUdbEXESaPdjPWDEYCsnkRX2,USDC,usd-coin
3k5kLoHVyY1RBpiwYeqE9p37vQGfZrAquyVtECTV8EDrw88Rg6oJEaWk6TZFV6nJxAd7v7CnJHtq5q6cZeamJLTi,30.0,transfer,transfer,3-1,HQcVZTyhbN2HvBtmUguQJMpB6TUA18JYedRN1mDjKyVT,2022-03-17T10:47:16Z,Solana,-,SOL,9,Hm53ELku7LaZGB3VAAjjxmFT3sEb2PqWGKNZbehUEtLN,Hm53ELku7LaZGB3VAAjjxmFT3sEb2PqWGKNZbehUEtLN,5ULG3a8SeNX4z9ZGLLTRaM7gZc2txuQZeMi6bYdRVRZ9,5ULG3a8SeNX4z9ZGLLTRaM7gZc2txuQZeMi6bYdRVRZ9,,,,,
3kCcawQnmsyWd3QzofVBBwuk4XTV7fmvMancqQXAPZuJMHZqTbMKBzoFzN1uEfCr9sBvLfoioiwgMRN3a916N5ZR,2.4357,transfer,transfer,3-1,2LvCaow2GYwP6Fhj1ueNWwETHGwXzyJZ7kRdp7SHbXDq,2022-03-15T14:53:33Z,Solana,-,SOL,9,8xQcxjAZgo6EKSpG25QqEVA5TEDSwmJWTpdUo2FeKtBY,8xQcxjAZgo6EKSpG25QqEVA5TEDSwmJWTpdUo2FeKtBY,GnU8ALJoC2fDXHPreqxPJk9wnsvCnRZpWBSev3TUYX1y,GnU8ALJoC2fDXHPreqxPJk9wnsvCnRZpWBSev3TUYX1y,,,,,
3kHezZjXP4SqGJh3Mi1AePB9sAo6KWJ4MUVBXPmWiW18F2FoVPNtk1GEeQDciFtqJWvJXkLFxXPiEMvWK2N5B5hz,150.0,transfer,transfer,1-1,2ZV8Dog7n5oZbuVmw9wNQT3dciW6aEv9WhYZYnkJikDp,2022-03-16T10:41:46Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,2ZV8Dog7n5oZbuVmw9wNQT3dciW6aEv9WhYZYnkJikDp,njp8HJj1mFWjJk4TNJczFbnZq4H4YSHRpAJKLsDwTPr,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,BwCiscB5zmPQKj9VS2bV5UCAdyxthLhzL1EfeWKVz61z,mainnet_income_put_sol,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,USDC,usd-coin
3ng9D8ZwjT7D44ePKtA7DgkZaz6CmB4EMovUdEg9di6SzzdsCekz9pvmVxwVvmtSzBi6D7ug8AtMQAqFZAVbA3eH,167.643841,transfer,transfer,0-0,36EJ19QKSj8UQnThx7wAZ73EtbwcWSuwAFspBBrfd3nL,2022-03-16T07:58:59Z,Serum,SRMuApVNdxXokk5GT7XD5cUUgXMBCoAz2LHeuAoKWRt,SRM,6,36EJ19QKSj8UQnThx7wAZ73EtbwcWSuwAFspBBrfd3nL,E7j8TpWrQEZZGygxTd7MJJyMcmKs2xrXpt9DKz3AriEm,2P427N5sYcEXvZAZwqNzjXEHsBMESQoLyjNquTSmGPMb,4bJiNVaTrRAWYYv1teDA2jZg1xMQy4MPASkGUrKuhRE9,mainnet_income_call_srm,2P427N5sYcEXvZAZwqNzjXEHsBMESQoLyjNquTSmGPMb,5SLqZSywodLS8ih6U2AAioZrxpgR149hR8SApmCB7r5X,SRM,serum
3nnua75kpzND2CJJFKmd7QAUkUUA5tKFw7FpjdtHbG7epcHwrMq7nNuoxmgGJuEHmbsdCT7PvvVs48DrpnAaRrqP,273.783527,transfer,transfer,1-0,6fDS4Mh8bhgyVqn4xeDmxUMGfq2bgD3xUCUMiBVuPuVL,2022-03-16T17:52:46Z,,Cvvh8nsKZet59nsDDo3orMa3rZnPWQhpgrMCVcRDRgip,,6,6fDS4Mh8bhgyVqn4xeDmxUMGfq2bgD3xUCUMiBVuPuVL,8TpRqfxk1x85RZ8v6PzmS8cpiSh2CbRo4cnZ1uXo57kr,AQRGh6PU7LzDHvvoPNS7wVVQaCBeftw9kVDAnvuEjbs8,DtnKdFJc6eapDNaXovSSTGVwhMBMj59DYCtNPtChs7w8,mainnet_income_put_tsUSDC,AQRGh6PU7LzDHvvoPNS7wVVQaCBeftw9kVDAnvuEjbs8,Fw8mw9zNyfngvBYuS2L6XWfvFE8fExQ3apZVw4Ery5oy,tsUSDC,usd-coin
3roPGD4jpvTqe7sWPxRCG7KeTrLsctyTt5zY3tsVbszAVCuPhi84kVgiaeGw2o7XTUdTpYBCnL2uCP5Zs44PMsNU,0.0001,transfer,transfer,3-1,jKYLLqxT5PyY4dMLGbX1RGkFkxwpobcn5j4VRhFdJYN,2022-03-17T14:33:34Z,Solana,-,SOL,9,D5dsWdaB2uafXUTEJ83Q8X66DWxPwWrJFwNpErr1vfrZ,D5dsWdaB2uafXUTEJ83Q8X66DWxPwWrJFwNpErr1vfrZ,5ULG3a8SeNX4z9ZGLLTRaM7gZc2txuQZeMi6bYdRVRZ9,5ULG3a8SeNX4z9ZGLLTRaM7gZc2txuQZeMi6bYdRVRZ9,,,,,
3t85EZfsarVRgNs4717gLZDon8QmskGYw3Tje7hJnKXW2J3rp9uT4eaYWNcm77s8wmTGRn8DWE1EsZxZn8DdP6yz,5000.0,transfer,transfer,1-1,96NEvaEgJ8dd163i12kAcNxZJWE5rgJq59g7uqU6GtSK,2022-03-16T22:39:01Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,96NEvaEgJ8dd163i12kAcNxZJWE5rgJq59g7uqU6GtSK,H1o1USfsXH3Ea2oBkaSWKyRKyiKZrcrQkyWS6dj4Lrn,EA29Xf3HGMtYziw7UKZDUKby7gkoCbXwmiNKwc7z54Ax,BmdL8jGg3BvuwefsMiatsR5c9XdFe5k5mjW1AEDCXQcN,mainnet_income_put_eth,EA29Xf3HGMtYziw7UKZDUKby7gkoCbXwmiNKwc7z54Ax,2uTkms42P62dJ7JRaefc1HFkvyBeMP28J6MPmH1gVHoT,USDC,usd-coin
3uE6VjjBj14bL5cxJaLF6f14EC1UzJtfjUV7K7LofxvKvEhKDcw7e1EacEkK2EtQ5M8A6DGhsMGZfjtQq1Uz7hPH,26.0,transfer,transfer,1-1,AXnTiM4SB14SQbEomSgLV2iTwYXwuKcF5MCMx1T7e5Md,2022-03-17T02:21:15Z,Serum,SRMuApVNdxXokk5GT7XD5cUUgXMBCoAz2LHeuAoKWRt,SRM,6,AXnTiM4SB14SQbEomSgLV2iTwYXwuKcF5MCMx1T7e5Md,FKKjp8RzjjeBzoCxUTH8r9qGv2pkAVFRUFPEkXFiG4Pf,2P427N5sYcEXvZAZwqNzjXEHsBMESQoLyjNquTSmGPMb,4bJiNVaTrRAWYYv1teDA2jZg1xMQy4MPASkGUrKuhRE9,mainnet_income_call_srm,2P427N5sYcEXvZAZwqNzjXEHsBMESQoLyjNquTSmGPMb,5SLqZSywodLS8ih6U2AAioZrxpgR149hR8SApmCB7r5X,SRM,serum
