amount,instructionAction,instructionOrder,userAddress,txSignature,timestamp,currencyName,currencyAddress,senderAddress,senderTokenMint,receiverAddress,instructionOrderPair,amount_x,instructionAction_x,instructionOrder_x,userAddress_x,timestamp_x,currencyName_x,currencyAddress_x,senderAddress_x,senderTokenMint_x,receiverAddress_x,shareTokenPrice,globalId,vaultAuthority,shareTokenMint,depositTokenSymbol,depositTokenCoingeckoId,userAction
320.679827641,mintTo,0-3,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,3YsT8YehqzGbuumT9ps4mHj4mec8FSYSouSPqtySyEjTrUpfdwBsQSyJQ8aeaPvKaheZGuYPpicA7jnMNf8ZEGef,2022-03-04T02:34:43Z,,5VmdHqvRMbXivuC34w4Hux9zb1y9moiBEQmXDrTR1kV,,,A5MpyajTy6hdsg3S2em5ukcgY1ZBhxTxEKv8BgHajv1A,0-2,333.427651183,transfer,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2022-03-04T02:34:43Z,Socean staked SOL,5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,A5MpyajTy6hdsg3S2em5ukcgY1ZBhxTxEKv8BgHajv1A,HRjPTaJZKc2F3HyqFB28CQG44itWu5xk1AVU894TTYTy,A5MpyajTy6hdsg3S2em5ukcgY1ZBhxTxEKv8BgHajv1A,1.0397524959264703,mainnet_income_call_socean,A5MpyajTy6hdsg3S2em5ukcgY1ZBhxTxEKv8BgHajv1A,5VmdHqvRMbXivuC34w4Hux9zb1y9moiBEQmXDrTR1kV,scnSOL,socean-staked-sol,EndRound
134566.616738,mintTo,0-3,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,3ZjLTqfMdM2FNdxPHd4e14vLQuXnbvohjJanbLioKrtH1Guks2fcd2iFKyJNfZoGuAzS6xByFZ7a3h7ra5QPGTyJ,2022-03-04T02:31:52Z,,G8jsAWUA2KdDn7XmV1sBqUdbEXESaPdjPWDEYCsnkRX2,,,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,0-2,139185.036672,transfer,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2022-03-04T02:31:52Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,C4BmVdyceFxTYSzNJiZheAAXC5q2nRVFQu1v4PebgJ8g,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,1.0343206959196425,mainnet_income_put_sol_high,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,G8jsAWUA2KdDn7XmV1sBqUdbEXESaPdjPWDEYCsnkRX2,USDC,usd-coin,EndRound
1.278304,mintTo,0-3,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,3j6BKLS2j75RxhwMCm9agGREG7mu1orJbfLQZQ6b9R6Av9KkSCaK9TVpzvBgAvNAKGMRvi7fAFdZjsijC1vgBDWh,2022-03-11T02:38:16Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,0-2,1.379509,transfer,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2022-03-11T02:38:16Z,Wrapped Bitcoin (Sollet),9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,ExJEkny8z78XMvkYoQGc9ZvqkyG3wj2RZZaXTAGpP46R,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,1.0791713082334093,mainnet_income_call_btc,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,BTC,bitcoin,EndRound
127.354568797,mintTo,0-3,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,3yjTc4KSxgEayE6yqYgtmPvQHCjZmKsV7F5SfTTgUSNoCxRrXSvxD4hzHwC4XTYNsXVw3AqKuJesLCBpfyVbXfBa,2022-02-18T08:17:26Z,,5VmdHqvRMbXivuC34w4Hux9zb1y9moiBEQmXDrTR1kV,,,A5MpyajTy6hdsg3S2em5ukcgY1ZBhxTxEKv8BgHajv1A,0-2,131.566416324,transfer,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2022-02-18T08:17:26Z,Socean staked SOL,5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,A5MpyajTy6hdsg3S2em5ukcgY1ZBhxTxEKv8BgHajv1A,2RAg199t8fGBhn7tzc81MUps3PwaLuHh2hqaWMp3Z59H,A5MpyajTy6hdsg3S2em5ukcgY1ZBhxTxEKv8BgHajv1A,1.033071821190126,mainnet_income_call_socean,A5MpyajTy6hdsg3S2em5ukcgY1ZBhxTxEKv8BgHajv1A,5VmdHqvRMbXivuC34w4Hux9zb1y9moiBEQmXDrTR1kV,scnSOL,socean-staked-sol,EndRound
1.022294,mintTo,0-3,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,46dybuECGYdfMswT7g5nvjMLfupMptJ7R3B774yEiJgRGyTimqZ1Kffio6uHS9NjLQJkmso15En9knvd6qBnTSXW,2022-02-25T08:05:57Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,0-2,1.097766,transfer,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2022-02-25T08:05:57Z,Wrapped Bitcoin (Sollet),9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,BD1aj2UmqkdKT7ZepJhm5kkWWWZfetks3c1yB9ZE6QxL,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,1.0738261204702366,mainnet_income_call_btc,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,BTC,bitcoin,EndRound
23853.666196,mintTo,0-3,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,4BKDre5Rp4F3kpw7UqwNjnj4Fcxgdfss2i7TjkPyPNJfifVtNhGupYtynFoNoN528SU6aVGwfajjbhf4FvyMifWt,2022-02-11T02:18:11Z,,5SLqZSywodLS8ih6U2AAioZrxpgR149hR8SApmCB7r5X,,,2P427N5sYcEXvZAZwqNzjXEHsBMESQoLyjNquTSmGPMb,0-2,24569.182831,transfer,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2022-02-11T02:18:11Z,Serum,SRMuApVNdxXokk5GT7XD5cUUgXMBCoAz2LHeuAoKWRt,2P427N5sYcEXvZAZwqNzjXEHsBMESQoLyjNquTSmGPMb,4Aau2Ypac8SXBoHrEmpx9zaAb4gt8hyU37y62cat7BnH,2P427N5sYcEXvZAZwqNzjXEHsBMESQoLyjNquTSmGPMb,1.0299960865185573,mainnet_income_call_srm,2P427N5sYcEXvZAZwqNzjXEHsBMESQoLyjNquTSmGPMb,5SLqZSywodLS8ih6U2AAioZrxpgR149hR8SApmCB7r5X,SRM,serum,EndRound
1.153187,mintTo,0-3,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,4FkVM9wdN7QjYLFtbUeYEUhbMXU2F4Nm3HkrVxiSrRMqpm7eQxZdzpdG5GYJxK9QQ16Q5o4f7hA4URWHeJee87NX,2022-03-04T02:36:17Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,0-2,1.240841,transfer,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2022-03-04T02:36:17Z,Wrapped Bitcoin (Sollet),9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,AMZfDvJu7WUP55ALsFi697mJawVuSr8DDrPfytKq5exB,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,1.0760102221062153,mainnet_income_call_btc,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,BTC,bitcoin,EndRound
20139.428637,mintTo,0-3,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,4J19P8U73NPJBbSyQkKnUGJJ24CXS3hFQ7bwjHe1CEuUoy4TK4ZXSMzuJQawcKpMSj7Jktpn5hwus8463s9HTPBW,2022-02-25T08:09:15Z,,2uTkms42P62dJ7JRaefc1HFkvyBeMP28J6MPmH1gVHoT,,,EA29Xf3HGMtYziw7UKZDUKby7gkoCbXwmiNKwc7z54Ax,0-2,20380.127066,transfer,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2022-02-25T08:09:15Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EA29Xf3HGMtYziw7UKZDUKby7gkoCbXwmiNKwc7z54Ax,92pb9FE7dxngNKsThohwcNY4dt9pDE1FCJcJpRiXJoTq,EA29Xf3HGMtYziw7UKZDUKby7gkoCbXwmiNKwc7z54Ax,1.0119516016734353,mainnet_income_put_eth,EA29Xf3HGMtYziw7UKZDUKby7gkoCbXwmiNKwc7z54Ax,2uTkms42P62dJ7JRaefc1HFkvyBeMP28J6MPmH1gVHoT,USDC,usd-coin,EndRound
242.545165003,mintTo,0-3,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,5Xnfai9gw3kKPketQpAiber2UhRybSrLoBxe6YqVewL8jn6KXXPQzKWKvm4f4U1Ry5bPFCZraboGXRS4mvBvYrE,2022-03-11T02:38:09Z,,5VmdHqvRMbXivuC34w4Hux9zb1y9moiBEQmXDrTR1kV,,,A5MpyajTy6hdsg3S2em5ukcgY1ZBhxTxEKv8BgHajv1A,0-2,253.206759896,transfer,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2022-03-11T02:38:09Z,Socean staked SOL,5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,A5MpyajTy6hdsg3S2em5ukcgY1ZBhxTxEKv8BgHajv1A,6aq6tzWKPW7o6QKnKEtHC1NXLgBZTUsprGZuL9XX4pxf,A5MpyajTy6hdsg3S2em5ukcgY1ZBhxTxEKv8BgHajv1A,1.0439571528579765,mainnet_income_call_socean,A5MpyajTy6hdsg3S2em5ukcgY1ZBhxTxEKv8BgHajv1A,5VmdHqvRMbXivuC34w4Hux9zb1y9moiBEQmXDrTR1kV,scnSOL,socean-staked-sol,EndRound
185638.104081,mintTo,0-3,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2zw5MSVsn3S9dthVe489Pdtq2EtphVmDdVPP35T3MA6CTqVqP6mSypSv2dRNRHLjhribsBCFEXVBMeGSZQB4ZfeU,2022-02-18T02:52:19Z,,74ozhToAS71nDVBtFZMMucdkNB95tV2o5fhtFGQeixwS,,,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,0-2,189509.668343,transfer,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2022-02-18T02:52:19Z,UST (Wormhole),9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,DDBw6AB1Vf83hQ2dakfJSnyfSNCBDVftJTjQtnrikBYb,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,1.0208554395724205,mainnet_income_put_luna,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,74ozhToAS71nDVBtFZMMucdkNB95tV2o5fhtFGQeixwS,UST,terrausd,EndRound
