txSignature,amount,instructionAction,instructionOrder,userAddress,timestamp,currencyName,currencyAddress,currencySymbol,currencyDecimals,senderAddress,sender.mintAccount,receiverAddress,receiver.mintAccount
4fwEmA5HQ3BqjC1WqwAFd1Yh5ADbMPr5DW91XtexeMr2ZTmpxBaHWJxaRswjTutbeaMcw45BReMTKyQVv2wkgyNd,156.750137,transfer,0-0,ExWDbwb6NZb6MQViT7EXKiEStcJkVEab5p3DySLV738D,2022-03-25T12:38:31Z,Raydium,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,6,A6XsYxGj9wpqUZG81XwgQJ2zJ3efCbuWSQfnkHqUSmdM,8iDJoR9FPcsfit9AmtHfH9doJ9ao6WbjKfaNEnbUCyAQ,ExWDbwb6NZb6MQViT7EXKiEStcJkVEab5p3DySLV738D,FotoBiGFgCyE9xPVAYoFhByQUA6Qyv7zeXvCSGnM2Gqw
4gevUWMw9LijCETBR8jQFnnFzxPTntvHNYQLFuFoWz2MEnoVEewDZp7LziDXc8qSCYvru3Rx9K5jpGCtPdw2hz9h,1680.0,transfer,1-0,FXVnd4Px4m6rAJcuVCR3oSE8DL4Jq7LKSbWVHU13qwJe,2022-03-23T15:55:13Z,UST (Wormhole),9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,UST,6,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,69Znv2Lj1XbaSWx5B8grnF7UKG1vG14B3XtKPGA6GrXP,FXVnd4Px4m6rAJcuVCR3oSE8DL4Jq7LKSbWVHU13qwJe,HKBm3YMQH8g8LK3Pwtw7YFJnP27pTnoAdMi1PPcMX9sj
4iwGBQJYgJn5Vn1TjWp8BWnrZS5uR2eGDAoduaqpGzvgC2hSayJZzPMwcfaeExt4RGB4fw2QmhrjvporVAGiR8AL,6.0,transfer,2-0,H5z9PXMn7k81zbPZUMRMUmWXjppgU9kMxpHvQ9wbvNQU,2022-03-24T03:37:14Z,Solana,-,SOL,9,FnCg7sLfe8gz4UyrmN9c3VX6Axohu1Pa8wy3bsSPZwfq,FnCg7sLfe8gz4UyrmN9c3VX6Axohu1Pa8wy3bsSPZwfq,gcSh1tBdNxrhDqV6VR4LojqG73Qe39L11QYpGvxeoWz,gcSh1tBdNxrhDqV6VR4LojqG73Qe39L11QYpGvxeoWz
4jJn1d27y5c5MsaUz8DVQJdmNHHjaKYkWpyFBzGYq85j6ZB7p1THH98ozBrz5zUxbNATRhX5h2YhFnTwdiMLFkgA,683.401,transfer,2-0,FPcL3sFutPQcV4hSvwBrhz19oJ6MNeGsaSMSYP1o4Rfh,2022-03-23T21:36:18Z,Solana,-,SOL,9,FnCg7sLfe8gz4UyrmN9c3VX6Axohu1Pa8wy3bsSPZwfq,FnCg7sLfe8gz4UyrmN9c3VX6Axohu1Pa8wy3bsSPZwfq,H5aS3PzSjyS4i2f3w5NxrGcCsuK4CDCZjp7BRStaFWLt,H5aS3PzSjyS4i2f3w5NxrGcCsuK4CDCZjp7BRStaFWLt
4jUmZA7Ne8dcJcjikmmYrhSr1fc3WYAmQ1cjWQ19XnFVUJSeekHvCgbf1ieHjufSvybkQA3DLnMVfAFNeW6n1oXQ,0.025045,transfer,0-0,4sG43azqQPH4onwBSgYbJ5egc6ENTBpcA24maWWwTvJp,2022-03-25T02:18:40Z,Marinade staked SOL (mSOL),mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,mSOL,9,6asST5hurmxJ8uFvh7ZRWkrMfSEzjEAJ4DNR1is3G6eH,Bm8ju1pbvvCqnMs2aC9BKrdUSVEdBLTBvAuMG34BVhDY,4sG43azqQPH4onwBSgYbJ5egc6ENTBpcA24maWWwTvJp,9H5eQTF3KEP4dd3Qz7Bkxg6QdCbbyzqhCAgEKuqAZgB2
4kQARzD99vJJKAsXS7i7idzgHPK6UkQGN8N3eWaMaQxdNYJ1dZgrmuzwBNsJ1upaSn3UohnZ84yTGw4WNybMVEkS,24.57,transfer,0-0,GwYc9Uz9UUmikf9g276jd9SLQyQvEqSZc82m2vRp9rsr,2022-03-22T04:12:29Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,CSbP824yiNVevVsJVHwpov2AgCf2McCLiFyKGjUTd9qr,GwYc9Uz9UUmikf9g276jd9SLQyQvEqSZc82m2vRp9rsr,5642VHMiLqomTBYNfCnUCczCN6tGEq5n12DaUL1hZfd6
4m5VTQnGL5vPRxyPkDXpnz8QUjSAeWKJUY9yp2hh8aknfhcmZ8t2WYHASH3aHutCC1nViEd5HFd3R2xkEkyTVneC,288.412383,transfer,0-0,ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,2022-03-20T14:29:39Z,Raydium,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,6,A6XsYxGj9wpqUZG81XwgQJ2zJ3efCbuWSQfnkHqUSmdM,8iDJoR9FPcsfit9AmtHfH9doJ9ao6WbjKfaNEnbUCyAQ,ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,QAWbRmNu5FhcT6YsDrcUh6WDX5PVUBFuwJU2G41VTrX
4mpTMbpETnyM4ipK3Ze5VMehJa6eNCyFeNmdYEae3GBU6KWyzVAgSTKTeuowaUF9XyZ4xcFQCLpgTdHHPRn5SHLs,124.9,transfer,2-0,6fJqGBoLuYxhkgKcXPwDHquZwCAsFXQdpAsGHdbZoYCL,2022-03-21T20:56:35Z,Solana,-,SOL,9,FnCg7sLfe8gz4UyrmN9c3VX6Axohu1Pa8wy3bsSPZwfq,FnCg7sLfe8gz4UyrmN9c3VX6Axohu1Pa8wy3bsSPZwfq,5srUJukNxAxCNYowb8esk7VniSmxUkkKdG9XCV9qNxBn,5srUJukNxAxCNYowb8esk7VniSmxUkkKdG9XCV9qNxBn
4nVWpo7iaux4Lj15Vjao6WVGJdfsKdX1xRwScpFijyQRMJj1S6XQvhb6m6TZoCo4fYoBVyncP58pYfmkrDFM5xPj,15.0,transfer,2-0,EPVhDfHattZHi6YWPvpuSfWpZGh33bBn55AXgCrzJVdt,2022-03-21T08:14:35Z,Solana,-,SOL,9,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,G1bsyCVqy4AgSPDpf74wS2Zem3akDw62F8cQVFwMME5J,G1bsyCVqy4AgSPDpf74wS2Zem3akDw62F8cQVFwMME5J
4o91FGu946yUeV35Vzz4oJbe6tydNVupoiEuMahbaseMkEgX8SAc8T4f3G1u3xUYfaaKM8QKWUymxDUkw1zE55sH,141.38661,transfer,0-0,5W3mZ4pnHtw1F8HozA39UUPLs7BRdcs2K2E7CuXAsrhQ,2022-03-22T11:48:17Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,GrB6vbG2WP7eEnbwgxUbBGRMeXYq139jo2o9oW8cNK8f,C6beCKfWjMWupibqymypGzNm27dTc7WWQq2BsQnSss65,5W3mZ4pnHtw1F8HozA39UUPLs7BRdcs2K2E7CuXAsrhQ,DNMWMJ4b4f3Phxbqw9fEoKVbNUMBTip9tQJeLiVqVJFg
