"GlobalID","DepositTokenSymbol","Timestamp","sharePrice","UserAction","UserAddress","epochTime","Hash","Amount","UserActionFlag","EpochActionFlag","Tokens","activeTime","ShareTokenPosition","TokenPosition","TokenPNL","TokenPNLCumulative","spotPrice","time","GlobalID-2","unifedTime","spotPropagated","TokenPositionPropagated","TokenPNLPropagated","TokenPNLCumulativePropagated","USDCPosition","USDCPNL","USDCPNLCumulative"
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,180.0215883035831,"2021-12-19 22:00:00+00","mainnet_income_call_sol","2021-12-19 22:00:00+00",180.0215883035831,20.0,0,0,3600.4317660716615,0,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,183.96239877465442,"2021-12-19 23:00:00+00","mainnet_income_call_sol","2021-12-19 23:00:00+00",183.96239877465442,20.0,0,0,3679.2479754930882,0,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,179.93839883526266,"2021-12-20 00:00:00+00","mainnet_income_call_sol","2021-12-20 00:00:00+00",179.93839883526266,20.0,0,0,3598.767976705253,0,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,179.67320898618328,"2021-12-20 01:00:00+00","mainnet_income_call_sol","2021-12-20 01:00:00+00",179.67320898618328,20.0,0,0,3593.4641797236654,0,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,178.87966189564753,"2021-12-20 02:00:00+00","mainnet_income_call_sol","2021-12-20 02:00:00+00",178.87966189564753,20.0,0,0,3577.593237912951,0,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,179.44096295139192,"2021-12-20 03:00:00+00","mainnet_income_call_sol","2021-12-20 03:00:00+00",179.44096295139192,20.0,0,0,3588.8192590278386,0,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,178.16364160166444,"2021-12-20 04:00:00+00","mainnet_income_call_sol","2021-12-20 04:00:00+00",178.16364160166444,20.0,0,0,3563.272832033289,0,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,179.78626893945997,"2021-12-20 05:00:00+00","mainnet_income_call_sol","2021-12-20 05:00:00+00",179.78626893945997,20.0,0,0,3595.7253787891996,0,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,175.81155865668268,"2021-12-20 06:00:00+00","mainnet_income_call_sol","2021-12-20 06:00:00+00",175.81155865668268,20.0,0,0,3516.2311731336536,0,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,176.16808728416825,"2021-12-20 07:00:00+00","mainnet_income_call_sol","2021-12-20 07:00:00+00",176.16808728416825,20.0,0,0,3523.361745683365,0,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,175.79937064077157,"2021-12-20 08:00:00+00","mainnet_income_call_sol","2021-12-20 08:00:00+00",175.79937064077157,20.0,0,0,3515.9874128154315,0,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,175.27191782083185,"2021-12-20 09:00:00+00","mainnet_income_call_sol","2021-12-20 09:00:00+00",175.27191782083185,20.0,0,0,3505.438356416637,0,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,172.34711441535393,"2021-12-20 10:00:00+00","mainnet_income_call_sol","2021-12-20 10:00:00+00",172.34711441535393,20.0,0,0,3446.9422883070783,0,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,171.94529475440632,"2021-12-20 11:00:00+00","mainnet_income_call_sol","2021-12-20 11:00:00+00",171.94529475440632,20.0,0,0,3438.9058950881263,0,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,172.6843048067942,"2021-12-20 12:00:00+00","mainnet_income_call_sol","2021-12-20 12:00:00+00",172.6843048067942,20.0,0,0,3453.686096135884,0,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,170.40176431228397,"2021-12-20 13:00:00+00","mainnet_income_call_sol","2021-12-20 13:00:00+00",170.40176431228397,20.0,0,0,3408.0352862456793,0,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,170.4925653040762,"2021-12-20 14:00:00+00","mainnet_income_call_sol","2021-12-20 14:00:00+00",170.4925653040762,20.0,0,0,3409.851306081524,0,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,172.92530865878553,"2021-12-20 15:00:00+00","mainnet_income_call_sol","2021-12-20 15:00:00+00",172.92530865878553,20.0,0,0,3458.5061731757105,0,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,170.57887876347388,"2021-12-20 16:00:00+00","mainnet_income_call_sol","2021-12-20 16:00:00+00",170.57887876347388,20.0,0,0,3411.5775752694776,0,0
