txSignature,amount,instructionAction,instruction.action.type,instructionOrder,userAddress,timestamp,currencyName,currencyAddress,currencySymbol,currencyDecimals,senderAddress,senderTokenMint,receiverAddress,receiver.mintAccount,globalId,vaultAuthority,shareTokenMint,depositTokenSymbol,depositTokenCoingeckoId
4ueFsVN2ZuwYxYR5KqNQttaGyCWG4L7oZuNmAfByho2Xszjbvkvjipd6VZozTbBvA5SrFnM2Aru99Mur9xU19nDZ,10.436986345,transfer,transfer,2-0,9hi9NfXF4Rdounxa6eQo2uWhQJLBciMLKGscAAtkM2h4,2022-03-16T04:45:14Z,Solana,-,SOL,9,2JPhdrousoSLRYmsL6dYPddaqn7unN8tSfMdmb6PWffw,2JPhdrousoSLRYmsL6dYPddaqn7unN8tSfMdmb6PWffw,4bdNqh1z9EF8RM4AxHywQFyVYWs9D6SUXYgWNhLHTPpo,4bdNqh1z9EF8RM4AxHywQFyVYWs9D6SUXYgWNhLHTPpo,,,,,
4xVcygpemiboDU4tXis3Ymyd7ynDzyDj4BixD8KkBzPZ6YYaG6ZC85XZSwXaFr4NnpR6zi8TYcxix8gabE9B9ivc,100.836097,transfer,transfer,0-0,GvPxYCMFSmqTeu8cnadd1L9zgTrAwbGM3Kxt3XkqMuVh,2022-03-15T19:22:19Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,3fXiKPeDnwmGZa6Y1dPatJuhTzHtayNZJ8BaoUu69kv9,GvPxYCMFSmqTeu8cnadd1L9zgTrAwbGM3Kxt3XkqMuVh,Axe9MPyWBGet3TymAw3YU4QUb1h27mu8PqXvRuC6JtMV,mainnet_income_put_sol,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,USDC,usd-coin
51ZtjXiyCmuikaLony3H1HWvHopgLvNKZmUP8s42dFvQdYcCQGpggaRM8QSpfph1QtSKeRvaE8eozFxrEb4aiDgg,0.152742,transfer,transfer,2-0,5QMB5em7Nu9BRcsDqQubs5riMzuK1xe5wJz3UAzaRxKx,2022-03-15T15:00:56Z,LUNA (Wormhole),F6v4wfAdJB8D8p77bMXZgYt8TDKsYxLYxH5AFhUkYx9W,LUNA,6,5oV1Yf8q1oQgPYuHjepjmKFuaG2Wng9dzTqbSWhU5W2X,H1LASXBHmsJBESdmrr9evfPNgsatujTsgrFshrHDFmMh,5QMB5em7Nu9BRcsDqQubs5riMzuK1xe5wJz3UAzaRxKx,EMSScfAS45gzY4wyVbrARXNgnh44WyCwwk44ZzEj38ro,mainnet_income_call_luna,5oV1Yf8q1oQgPYuHjepjmKFuaG2Wng9dzTqbSWhU5W2X,95sn4kgeJnnBfRCD8S2quu4HS9Y6vb7JDuXrarnmEjYE,LUNA,terra-luna
526kxCCEDG3Z5jhNH3v1J3nCrXAsxVu7H3Jx2XuwxpXKdcSDMx3gBXtrATiWBHUS7gNNZfrsk7f7HFnueX68Vhir,21.115267,transfer,transfer,0-0,7dMskWAgwv4EyQykEbnieDNZs5xDrJN6Ma6LKY5xyd1d,2022-03-17T17:03:37Z,Wrapped FTT (Sollet),AGFEad2et2ZJif9jaGpdMixQqvW5i81aBdvKe7PHNfz3,FTT,6,7KqHFuUksvNhrWgoacKkqyp2RwfBNdypCYgK9nxD1d6K,Eke8chtKWowWLzeEWaTjc23Smq2KdL39wqnYAcyWtuLD,7dMskWAgwv4EyQykEbnieDNZs5xDrJN6Ma6LKY5xyd1d,7G8N526nxu4nWJ97XRdV6DvfQrz4qPnDN7jmgw6HSEGP,mainnet_income_call_ftt,7KqHFuUksvNhrWgoacKkqyp2RwfBNdypCYgK9nxD1d6K,7wDh4VCTPwx41kvbLE6fkFgMEjnqw7NpGJvQtNabCm2B,FTT,ftx-token
52UqgxMi3chQydTK3Pq7Gjg8HgKcjFNx8mmDPSyfyPQdtJFuL1wfQozt5AmRDxx6zmvXHR3SBMtEGwaCi61UZqDV,0.496220228,transfer,transfer,0-0,Ba7fSXhzm3JHiHxnZHc94tjtBh4dAoVa2RJEQoKPEwCy,2022-03-15T03:13:08Z,Socean staked SOL,5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,scnSOL,9,A5MpyajTy6hdsg3S2em5ukcgY1ZBhxTxEKv8BgHajv1A,HtxkVERavaMxR9jUSjvj27749zAeKQDtC7g4taiFHeGN,Ba7fSXhzm3JHiHxnZHc94tjtBh4dAoVa2RJEQoKPEwCy,6Dh3GY8rkkSnSHHEwDvb6H5hnmT1HDBjoSBBCqP1eHRv,mainnet_income_call_socean,A5MpyajTy6hdsg3S2em5ukcgY1ZBhxTxEKv8BgHajv1A,5VmdHqvRMbXivuC34w4Hux9zb1y9moiBEQmXDrTR1kV,scnSOL,socean-staked-sol
568oMkkmsTyPN1KAbHAsZMmeDizqHtkoMnGTqWYfr3qwDswauWRSx52Xu2a2QVb7GF3bMdsdq2MKnd5e3D4sW2BM,1961.885033,transfer,transfer,0-0,GDazi3eYpMA5ucDuf4otyGHP264M6bGGUzJtHCnjRPdo,2022-03-16T14:47:06Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,82ufCo5Fir7B5hupedUGH3C9kAY6aKNVpxSk86X1ZBCJ,GDazi3eYpMA5ucDuf4otyGHP264M6bGGUzJtHCnjRPdo,C1g4TMMUGZtLvi8jL2hWoerDT69Qyc8yiKrSDCn3f4WF,mainnet_income_put_sol,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,USDC,usd-coin
5DieYkSGZQTXdGJtzvUeHY6rdCWJYGikAKxzcahHQbvd9v5K6NE75EiwPQfVAdfKZvcfpzD7vFwqkJToKeCRZhft,12.202147646,transfer,transfer,2-0,69v3nh4Q2WBTKvAbtGo8aYYdGPmDdQTzTSmyxKBWZYyn,2022-03-15T02:04:08Z,Solana,-,SOL,9,5zgSb9sra9B42wcoGsXcRr46T2WHFbr1ZUgxiBeAziU3,5zgSb9sra9B42wcoGsXcRr46T2WHFbr1ZUgxiBeAziU3,BeQomw6pRdD3pLz2Ya8t7nWajPeJvW6DEDbC5ZLegb5Q,BeQomw6pRdD3pLz2Ya8t7nWajPeJvW6DEDbC5ZLegb5Q,,,,,
5GudaHEFHXbSzh2mqEybtBTYDaEFUj9rheNVMefZbUEqYzuXZH8uq3He5f45gkiHLs6M5L63nWP9qkFaYwSKUffU,10.537213256,transfer,transfer,2-0,5Bvr8aLYVYmaWXjruPeyfXDqb5abGXLtztmzyzsbkSdD,2022-03-16T04:03:37Z,Solana,-,SOL,9,5zgSb9sra9B42wcoGsXcRr46T2WHFbr1ZUgxiBeAziU3,5zgSb9sra9B42wcoGsXcRr46T2WHFbr1ZUgxiBeAziU3,CAHFAGgL3vbawiD3nwmGaYEJkPqRVkv3WJLRbCEqguQB,CAHFAGgL3vbawiD3nwmGaYEJkPqRVkv3WJLRbCEqguQB,,,,,
5JoWhL8fqXyndbPfn7qffc9QTeAuM9ATWLxw4iScBFxrFQa3grhgkGhgWkogSsZ3xPC6GvXaWYkkunFtFVpnSDnE,0.200677677,transfer,transfer,2-0,3C2oL8pXjpt7sDGXd92f6N695JGGKWYd5pW5ENEBZg75,2022-03-17T15:09:33Z,Solana,-,SOL,9,2JPhdrousoSLRYmsL6dYPddaqn7unN8tSfMdmb6PWffw,2JPhdrousoSLRYmsL6dYPddaqn7unN8tSfMdmb6PWffw,rW11QP1cZqbkDLYyJzan8kanuAiGSRdxskATqHkTDDq,rW11QP1cZqbkDLYyJzan8kanuAiGSRdxskATqHkTDDq,,,,,
5LJqFBHeoZ6ZBR3xMUaDyGH7rFTBux8BZfKvkFiK5nrcy9jtmxKBvmNumegcBsk4zTnAcFKjrg7evxZJnw8AznuP,0.985678751,transfer,transfer,0-0,BG1Fvb5f1n8JEMEWgDPR4RdPkWLF5eE1imsvuXkecyRH,2022-03-15T15:18:02Z,Marinade staked SOL (mSOL),mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,mSOL,9,6asST5hurmxJ8uFvh7ZRWkrMfSEzjEAJ4DNR1is3G6eH,ERUz9AZLJptqPiJTPuBDeFMwt2sXJEt4nvA6GBX3JKDe,BG1Fvb5f1n8JEMEWgDPR4RdPkWLF5eE1imsvuXkecyRH,FjCd95GG8am7VNkLKaWkbeGbmHLwPdRJJvxo1ruHZRGi,mainnet_income_call_marinade,6asST5hurmxJ8uFvh7ZRWkrMfSEzjEAJ4DNR1is3G6eH,6UA3yn28XecAHLTwoCtjfzy3WcyQj1x13bxnH8urUiKt,mSOL,msol
