,userAddress,vaultTokens,usdc_send
77,7jAUNgXUi61zC2Kf4ze6tz63M5beCbiJX5KoRw3pM2ZY,1895.5906344068799,8.780100138533905
401,3B2QG5eDRoaLxKPpM57JdLK4BL5T45q9bYZNtjc5Gx6t,1895.3034160539753,8.778769784894067
419,2N14JcDVET2t2VoKfJ1K7R28pTJiLyhpb6GS6zFT9F7d,1810.8153934582865,8.387433551515295
174,41F42Db679kycQDX1kxLJ8hutd35MnNkLbzJsuLXGiNs,1763.227123278023,8.167011604910218
9,CZiRHmqePKYP2hnWfuW6EsWsjYrsBdG91tXXXHs84JuF,1719.8071463430315,7.965896586412912
307,7ozEZ85JShXE8nTYsbarXQEzSLcVUxbVBt5SYJtH5niK,1553.9524423095752,7.197681717955149
463,3WSe6vkoYaK3bXsHS3HQa8cqssAJzLLnvMgNNV6bRYAU,1529.073684365078,7.082446929330346
89,4KBJfqekDQ1qXdj2uZF7F3QzUjBjdqDosNb55nUwbGmr,1456.9931019043504,6.748580154214599
258,HnTgZezFLJVsNGuT68dKbzgdhTRzARJPkaFT6YQdJwXj,1435.17523977394,6.647522989847637
227,HNg6osNKwe2uTcKefBhbX9Sy73BDszw5EhWoHGENMDmE,1412.2929415986348,6.541535512524066
290,CqkjZU58iqDgpruqbKzxMsDhBC3PCx9Q9Gn1cXDmgez8,1409.756607828237,6.529787583364349
1,DwmePe5umSWvsuQWqcZnbAu75Bm4B1XZCNrMGDxhVEgi,1271.3783778304603,5.88883974667401
195,4qyZRHyT1UrVVpUYJFAK6yYrTBzdWhZThsV3AHTPVRr2,1270.7887264287608,5.886108567135676
211,84DWEA4TiA2eTWv4RTwzdVULUPiPwFiCMmuyyyu5ZPpS,1236.000061491354,5.724972530539933
534,ES2XtYGREZgTs9NsCZUCjWso1YQcouysa1Ak2hTfJEkY,1082.8789681108553,5.015737894748836
