txSignature,amount,instructionAction,instruction.action.type,instructionOrder,userAddress,timestamp,currencyName,currencyAddress,currencySymbol,currencyDecimals,senderAddress,senderTokenMint,receiverAddress,receiver.mintAccount,globalId,vaultAuthority,shareTokenMint,depositTokenSymbol,depositTokenCoingeckoId
4JFqer78pJS9b6mwX4K1ebbGTrQswdkL34SvS97zcJAUWkj13Rga9HpgQmTnL9EigKYdvDesRiVwEsncXwvLhm4Q,1010.055688,mintTo,mintTo,0-0,gvmtTTUNSbsPLKpwmBWMJ3rMBhcSMMCpQ9QNZT3Map4,2022-01-29T17:37:11Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,gvmtTTUNSbsPLKpwmBWMJ3rMBhcSMMCpQ9QNZT3Map4,5iTriajvsWxknnkwVkMrYyeEVyFA46jw35QcK7uBGzTc,,,,,
4NPTFkcgKC7jRitdamiW3CygJHyXfDDsxCEcEuYuBG5LGvqpPMVBZEcYkyaeJUHpVZL746NbkvvvarYAEqeZU7wV,126.775146,mintTo,mintTo,0-0,2e2NyZLesYjgZuqyqF9oULEde7CHwR4sanPyzbcp16AS,2022-01-29T21:01:12Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,2e2NyZLesYjgZuqyqF9oULEde7CHwR4sanPyzbcp16AS,5aRht7miAMryDWKJYig7BGCbGD6wD5fJmiGrJzR3pxnD,,,,,
4QudBBy5f6PzHQCdZfGgC8PCVkAsR9VokHR2LCmoBy9SaYrSZPNBp4Ss7k8mPeTpYRaq1fS15RTPvKiDo1wqv2ym,1376.657897,mintTo,mintTo,0-0,129soXcPUEYUkE7aJzoDkq8tEANtaptoPaf8EQXMo6U9,2022-03-03T23:58:18Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,129soXcPUEYUkE7aJzoDkq8tEANtaptoPaf8EQXMo6U9,9JdRFPdj3rroBK2vESPYcSXw1oUZat261FYsbV4HLSPK,,,,,
4TtbXpBsmuEv9gis9hWe5TouyhPZwpHwE8FTyAm5UJUyDyjqANXpWUNZnsLDLwQZGcJt7EnQkZDUPyoPWkSHbtCk,10.675688,mintTo,mintTo,0-0,qVMKMR7QPmer4MCCV4autEBKWARgYAQbSwZ1q9UDHnh,2022-02-14T04:50:57Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,qVMKMR7QPmer4MCCV4autEBKWARgYAQbSwZ1q9UDHnh,Tfs8EyvmJC5hMigB3fkRVvwzwSqr2SwzKfdMjvkjnNV,,,,,
4VqARK4bcp7iMMamjKeERp927zwf5pb7MRrbKGuR4fdn6vjriZQE74VN5f5bncrrbjPhL4ry3Jay3c5boLFdPnLq,8974.750844,mintTo,mintTo,0-0,CiSZ1jTcZ29SoX3tEUQmsjpVS4HRMpiy8a5QKQQsbCTk,2022-01-21T23:57:19Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,CiSZ1jTcZ29SoX3tEUQmsjpVS4HRMpiy8a5QKQQsbCTk,F9xfqxqTK4KAuLXEvmBYxbgHVHUkWkHx5FjaLct5x7HZ,,,,,
4W5YNDiWL3eHxAbpnBu8GjMbUZGztEA2QzeJ8RvovM2y7eCR586DZADmExbGu71HBJCj81QbR1fFgETwXqwU62H7,214.873129,mintTo,mintTo,0-0,9xxrxvvQwTRC4ngRBotnzziXNDpZeAezRfiVi4M5khPe,2022-01-30T19:24:08Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,9xxrxvvQwTRC4ngRBotnzziXNDpZeAezRfiVi4M5khPe,8pat3v9QnTz1nsG4Yt6DwFus3mSQVtpaPjm8xSGcM3gw,,,,,
4arj6b9b5ndbjqXVgM7BVboN9kx549sxf95wRpaJ1xVALH66PNUajt2de7e7SX9jkfCkao9bMDXwtgaEAQYg9wzv,1999.999999,mintTo,mintTo,0-0,48WqeALQpzc5QUaAJrwB9gBgiPu12LY7SsuAoEFDabtM,2022-01-29T11:41:58Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,48WqeALQpzc5QUaAJrwB9gBgiPu12LY7SsuAoEFDabtM,9jcSUsXN6BCTQbhUohUivJn8CoAqMRWhejEWmYtKfFvx,,,,,
4iP9BNtY1rKS5PGQvwsKo6BjPhhUT6YHANAAQzVc9nkpJBCrXsDQZvArQiHS9zfjnyJA4JL3eYFFWkuJY4nuj1g2,99999.999999,mintTo,mintTo,0-0,7C6n8o3fzMtTkB7oKjpCbj6qaK8pL3XcACUPVCZoaCTX,2022-01-22T02:32:13Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,7C6n8o3fzMtTkB7oKjpCbj6qaK8pL3XcACUPVCZoaCTX,86FQivcuD5dFm9gaJgYRXXmKZ527pDKJddkbEPMKTTaX,,,,,
4kNJ94dNv4baGzqM7xejaU7JX9c5Drao5MijNpuXN2bAoV2AjXmF2WhGD3ahLwxUDypXRC1LDxTfmGQhLLTxZPTa,193.385816,mintTo,mintTo,0-0,J9zW1BogAUG72bMraNbGKzELyjyifUoiFrS2R6YizdDs,2022-02-02T03:52:26Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,J9zW1BogAUG72bMraNbGKzELyjyifUoiFrS2R6YizdDs,VMpr45kSuSwXnb63hdZiv1LMGQqVBjJGBhed6bKLEnU,mainnet_income_put_sol,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,USDC,usd-coin
4nX9tpaRtq2ky4EYREfcPbuVTrkqgc5SWE6JRFtwAG9SaGSZVbbN9jMvKnapZFV3YaPwhDVPY8pfRRNt9DEDLhoh,97586.328721,mintTo,mintTo,0-0,jDvGb2eTTqiLYeKdweqteiGov59amfS8QxqFYy7ojxA,2022-02-25T18:43:58Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,jDvGb2eTTqiLYeKdweqteiGov59amfS8QxqFYy7ojxA,6csDi9TecXPrff2fFY2Hu7B6B2QWEXV3tZpo8iHdWtY2,,,,,
