,amount,symbol,cash,date,signer,tx_id,transaction.innerInstructionsCount,receiver,asset,FeeType
5728,6.066568,,95sn4kgeJnnBfRCD8S2quu4HS9Y6vb7JDuXrarnmEjYE,2022-01-25T14:57:09Z,7cqa7tPYNgWw8eRNDcBosEQxYJ4uKXfDMHFmBhxH3uQN,https://solscan.io/tx/4A8vRFpHm1zkE1fQ98hXjC8a64TXwVSqCv4J25kRfDsbqrufi8JEoLNGfq9TYLMYEZLyQXd3urVYJCBGwBSphwhL,2,7cqa7tPYNgWw8eRNDcBosEQxYJ4uKXfDMHFmBhxH3uQN,LUNA-C,Performance Fee
5818,8.036131,,95sn4kgeJnnBfRCD8S2quu4HS9Y6vb7JDuXrarnmEjYE,2022-01-29T14:25:39Z,7cqa7tPYNgWw8eRNDcBosEQxYJ4uKXfDMHFmBhxH3uQN,https://solscan.io/tx/5HpzGFo1ZACZ1Vra74WGsHv99wLHCCcJpwZySNiicZrZ2GFYxAhNnLuQB74WrQtYoMviGLFQv8eJTdDzaTGYyWbm,2,7cqa7tPYNgWw8eRNDcBosEQxYJ4uKXfDMHFmBhxH3uQN,LUNA-C,Performance Fee
6266,8.968288,,95sn4kgeJnnBfRCD8S2quu4HS9Y6vb7JDuXrarnmEjYE,2022-03-05T12:35:19Z,7cqa7tPYNgWw8eRNDcBosEQxYJ4uKXfDMHFmBhxH3uQN,https://solscan.io/tx/4Exd7hLSxbzuEWJzAKWb1CcmdN26dTNBBEbjQ3TXLP2N3269WASKQYXGqwoyuVLDt4o4x71wSqocJbhW6nKiEFBt,3,7cqa7tPYNgWw8eRNDcBosEQxYJ4uKXfDMHFmBhxH3uQN,LUNA-C,Performance Fee
