,transaction.signature,amount,instruction.action.name,instruction.action.type,instruction.callPath,transaction.signer,block.timestamp.iso8601,currency.name,currency.address,currency.symbol,currency.decimals,sender.address,sender.mintAccount,sender.type,receiver.address,receiver.mintAccount,receiver.type
10,2uSPRPp8ArUMxBhyUhracE5qfFZK9bT66cFqv2PANpdEFWacUaXJQTsUkoADE1jvBKjcYwqgXccATgNNUUrFVCQg,1000.00013,transfer,transfer,1-0,4pwQBg95Cw9znrT3SGkVXw5QvqY6xpjseG8xC7dmPDve,2022-03-20T11:59:28Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,4pwQBg95Cw9znrT3SGkVXw5QvqY6xpjseG8xC7dmPDve,H5tDdeWNHEwjzkAMoG8AcZD8D8aSczLqiAKYPxMk3LSP,account,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,EvWvbtqdaPXFwd7G6S8aUzQvG2JEnHyjVW1mWQRrRG2q,account
11,3AdhYX2g32nancVeW7kfSstYMnwtbtbJV7xBJzCWcoc6PCDHgjFWQSoMPDDGbTG5jvy3AsEXTytb54h9T4pVLdrB,1935.916372,transfer,transfer,1-1,EHWCVPPek2kt512pn6JQDKMdZ7R91gLad24dthVYjUQo,2022-03-20T12:02:40Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,EHWCVPPek2kt512pn6JQDKMdZ7R91gLad24dthVYjUQo,4NhrKJBDfsMw1CjoywzPKRTzVLbfn64Sn7EPuVNHZ3y3,account,EA29Xf3HGMtYziw7UKZDUKby7gkoCbXwmiNKwc7z54Ax,6rgpcHFnztHQEqwr6xUvEw8UsdgJhLNjAqcaLrbhLzHf,account
12,3AjWkBroY5R3okb8cojHJrBHBBE6RQ2FJaMAEYssPaMdYEQuKLXm6gkDdw4EsUW3aZy3pU2u97VGYDPotJJrWdv6,10.0,transfer,transfer,3-1,4hATAoKD9MRXdqAxBcLYzeMX4kc54aW41Z7AaoEsc3c4,2022-03-20T10:59:45Z,Solana,-,SOL,9,FKsr7H9eHEHUdbCNyLLvCDEWpD86yP6NsJE4naKvKPex,FKsr7H9eHEHUdbCNyLLvCDEWpD86yP6NsJE4naKvKPex,account,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,account
13,3KhJpyNiypEZjh8Fd4MgHsF9zWz4SUmkjFKK3FMbSQZc1BZds3uFfXKKnm6C74PTLq9DHk9cscanhziwze3iSqfx,20.0,transfer,transfer,3-0,BfwHsuCMR184h9mX3rRia4BbDF8vXsim63U2w9mj5rBi,2022-03-20T12:49:34Z,Solana,-,SOL,9,5QnNBg483Vhq4n2LsyUUuxAnHAXyeoc52nui4sbv6VKF,5QnNBg483Vhq4n2LsyUUuxAnHAXyeoc52nui4sbv6VKF,account,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,account
14,3MEXJPQfBrmf3kpB6zX54VKBaGBb3miavM8L3mhxbcDpbikZAUd7fBBuHVX87DA1FarwtqvsUGL7JV8zSdhET8fH,9.69859963,transfer,transfer,1-1,8RNbJDo83hy3TCkCBYfgRiV4urQrxtf4QJA8KPcyjwr8,2022-03-20T11:20:09Z,Socean staked SOL,5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,scnSOL,9,8RNbJDo83hy3TCkCBYfgRiV4urQrxtf4QJA8KPcyjwr8,5vMd9rNVZi2dyovhPdSGrV1E84LUFZUWcd15rX8fqStC,account,A5MpyajTy6hdsg3S2em5ukcgY1ZBhxTxEKv8BgHajv1A,89mdNK1jnNyoR1HBUsJM75t3UsVQRZt63DPm5YJxJui4,account
15,3PTgdeAq4yBATD1mecoZXkn5XaoeS248uiLZMNYR9iy4ihV1ZGA7NNQAHoGcPHzRd1rznbjGUR8PrqkFKRcuyYfh,5.0,transfer,transfer,3-1,H2JvYYfVTobmnznmViEBLLo4pjjoSSgxYyTyW8wEH15j,2022-03-20T10:17:44Z,Solana,-,SOL,9,AXMM5ihpjVRddHvFbqHmGPwNu77ewvz49qy5nZmohjqW,AXMM5ihpjVRddHvFbqHmGPwNu77ewvz49qy5nZmohjqW,account,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,account
16,3VBSj8276GyZKt69L7GkX8hccjbLm99dnKfMNJjsqQKAG7tL9VJxKthj4D2Xu6oqbjNJ8dRCTF1jRhtG5Gan9jxt,344.854636,transfer,transfer,1-1,8ysDtK69BRmBm8s2cCb5KGgBLhRPLk5woixpXjPfeXPx,2022-03-20T12:40:56Z,Saber Protocol Token,Saber2gLauYim4Mvftnrasomsv6NvAuncvMEZwcLpD1,SBR,6,8ysDtK69BRmBm8s2cCb5KGgBLhRPLk5woixpXjPfeXPx,39qkP4A8m1DGonxLnAvzegyzceK2odYBRiQcVrsyhdqV,account,BH7Jg3f97FyeGxsPR7FFskvfqGiaLeUnJ9Ksda53Jj8h,45NeXayPBdfZYWcoZPdv3sQeXoYVS5GcHRWP4MHXBSHY,account
17,3VLepCrxLLk5nhyXNwqsYBFowSf5jG7tQnkJuBaU92oDHDb87bYR1HHWh4sUMsAprv4SorHSXSpNFGwrK5dZwA93,10.2,transfer,transfer,1-1,H2JvYYfVTobmnznmViEBLLo4pjjoSSgxYyTyW8wEH15j,2022-03-20T10:24:33Z,LUNA (Wormhole),F6v4wfAdJB8D8p77bMXZgYt8TDKsYxLYxH5AFhUkYx9W,LUNA,6,H2JvYYfVTobmnznmViEBLLo4pjjoSSgxYyTyW8wEH15j,9RMizvajAY56iQ2c2vJm98UXcnLsdN55pPH2JGf2Avrb,account,5oV1Yf8q1oQgPYuHjepjmKFuaG2Wng9dzTqbSWhU5W2X,GCm6VCGpkUQ2kaXoJz9S7SmEnHyXwwxLbr2fVD4AM1yD,account
18,3mGeM91QdA9h2cFypRZ8HVBdewYhVwSS6XqLHj2pRML4AQ32ToMAf5uiddtMYmEmxkp8Prvutx954ue6ugDoFQ5,0.089,transfer,transfer,3-1,3d1Botrw38mDR9LpbtrgvVZD8cNZb3WNKRWn4uj7LHVx,2022-03-20T14:33:24Z,Solana,-,SOL,9,5cXXa4Fmcfa5BWo3TGUiS48e6zSM2FC2Qetn2GY1cU4,5cXXa4Fmcfa5BWo3TGUiS48e6zSM2FC2Qetn2GY1cU4,account,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,account
19,3wSKAgTALmUhubr59CGmC78qZg12QksMjJbaN8AakP5YrPQr9TFXdo8sdQZuxCmLzUXB2UmbdHC7WUoPQCGoER8,0.00447,transfer,transfer,1-0,ERx6fRudyJndxwCwg6p55BHdtdDaK7X8QZVLncmvbj4q,2022-03-20T12:54:59Z,Wrapped Bitcoin (Sollet),9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,BTC,6,ERx6fRudyJndxwCwg6p55BHdtdDaK7X8QZVLncmvbj4q,HFCEWT4mQ8CGBTuziaHxgNqKTbcf7SAk32D7cdE9Sudj,account,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,3LWwNVeYGRspS6JTmcEWVoD3yVmVps9ELceq77pTv3jj,account
